616,dihira,,front piece,,,
617,dihiwara,,shine upon,,,
618,dihongo,,"happiness, prosperity, profit",,,
619,dika,part,just,,,
620,diki,,support,,,
621,diki-diki,,walking *stick,,,
622,dikiti,,cough,,,
623,dilago,,fruit,,,
624,dilibu,,fruit,,,
625,dilibu,,"fruit, fetus",,,
626,diliki,,male *genetalia,,,
627,dilikini,,spirits of the dead,,,
628,dilikitu,,divorced wife,,,
629,dimoaka,,remainder,,,
630,dimo-dimono,o,the *oldest,,,
631,dina,loc,on the land,,,
632,dinena,DEM,that landward,,,
633,dineunguku,,seawards,,,
634,dingi,,tight,,,
635,dingi-dingi,,song game,,,
636,dino,,loom,,,
637,dino,ma,burned,,o uku ma dino,firewood
638,dino,,loom,,,
639,diodaka,,crawl under,,,
640,dioha,,house,,,
641,diopo,,brothers *wife,,,
642,diopo,,wives of brothers,,,
643,dipidili,,release,,,
644,dipo,,knock o ff fruit,,,
645,dipongo,,banana,,,
646,dipopa,,steep ending,,,
647,ditifa,,fall on,,,
648,ditoko,,set aside,,,
649,ditoko,,deviate,,,
650,doa,ho ma,"climb, ascend",,oigono tomadoa la mahohoko tomalye,I climbed the coconut palm in order to get some coconuts
651,doaaura,,surprise,,,
652,doabutu,,purchase price,,,
653,doa-doana,,call names,,,
654,doaka,ma,ransom,,,
655,doana,,call names,,,
656,dobalyaana,,flat depressed,,,
657,dobi-dobiki,ma,a *little bit,,,
658,dobiki,ho,break o ff,,,
659,dobongo,ho ma,wade,,,
660,doda,,anchor,,,
661,dodadi,,"creature, origin",,,
662,dodaga,,canoe *plank,,,
663,dodagi,ma,"journey, passage",,,
664,dodai,,"plates, dishes",,,
665,dodakouro,,knocker,,,
666,dodama,,prolonged *wait,,,
667,dodanu,,colateral,,,
668,dodara,,"love, affection",,,
669,dodato,,fear,,,
670,dode,,shrimp,,,
671,dodego,,"press, sugar press",,,
672,dodemo,,spoken,,,
673,dodengi,,file,,,
674,dodeuke,,fish,,,
