413,cege-cege,,do fast in *unison,
414,celaka,,"misfortune, catastrophe",
415,cere,,"divide, divorce, tea *kettle",
416,cereni,,mister,
417,cicimi,,"rattan, small *twig",
418,cigiafa,,trigger,
419,cikahoua,,weak,
420,cinga-cinga,,k o *plant,
421,cingari,,"scanty, poor",
422,cirako,,strike,
423,ciu-ciu,o,k o *bird,animal
424,ciung,,k o *owl,
425,co,,hold tight,
426,cobo,,depart,
427,cobo-cobo,,"continual, constant",
428,cocatu,,gift,
429,cocawaro,,wise,
430,cocoo,,handle,
431,cocore,,"chatter, drivel",
432,cocoro,,funnel,
433,colo,,dye,
434,comoko,,closed,
435,coporoki,,"twisted, deformed",
436,copu,,"spray, squirt",
437,cuali,,slower,
438,cuci-kode,,hairpins,
439,cucukunu,,tickle,
440,cucupu,,small porcelain *vase,
441,cuga-cuga,,lame,
442,cugulu,,speak in *riddles,
443,cuka,,vinegar,
444,cuka-cuka,,sour,
445,cuki,,sleep,
446,cuku-cuku,,"tickle, itch",
447,cumu-cumu,,riddle,
448,dabo-dabo,,fish dish,
449,daboho,,grained,
450,dada,,rice cake,
451,dadaboa,,k o small *fish,
452,dadahongo,,spear,
453,dadaka,,liana,
454,dadaka,,banana,
455,dadakuru,,catcher,
456,dadalyoko,,fan,
457,dadami,,fire grill,
458,dadamonu,,cover,
459,dadana,,feast food,
460,dadapa,,patched,
461,dadarono,,"swelling, festering",
462,dadatoko,o,"cover, shield",
463,dadayoko,,fan,
464,dadi,,"become, succeed",
465,dadu,i,lay against,
466,dae,,weapon,
467,daena,DEM,"directional demonstrative, that downward",dir
468,daeune,,"meet, conclude",
469,dafa,,slave captured in war,
470,dafi-dafi,,triangular bamboo *sieve,
471,dafongo,,catch,
472,dagali,,substitute,
473,dagamono,,catch,
474,daganga,,merchant stranger,
475,dagapi,,explanation,
476,dagarihi,,cry intensely,
477,dagi,,run able to,
478,dagi-dagi,,run,
479,dago-dago,,run to meet,
480,dahabaka,,hit by accident,
481,dahango,,"spread, grow",
482,dahao,part,before,
483,dahe,,crawl,
484,dahi,,"extend hand, handshake",
485,daho,,name of mans sisters child,
486,dahongo,,catch,
487,dahu,,name of wife's husbands sister,
488,dahuku,,calendar of rope knots,
489,dai,loc,"directional adverb, on the sea",
490,daioka,dir,"on the *sea, seaward",
491,daiuha,dir,landward,
492,dai-dai,ho,carry on the back,
493,dailako,ho ma,look at,
494,dailangi,,morning twilight,time
495,daji,o,"bamboo money container, bamboo fishing float",tool
496,daka,o,honey,food
497,dake,,seperate fighters,
498,dake,,"above, up here",
499,dakena,DEM,"directional demonstrative, that upward",dir
500,dakolo,,bargain,
501,daku,loc,above,
502,dakuru,,catch a liquid,
503,dalima,o,pomegranate tree,plant
504,daluku,o,palm wine,food
505,dama,ha,wait for,
506,damela,,stink,
507,damonu,,cover,
508,damouro,,watch,
509,damouro,,"approach, come close",
510,damunu,o,drum,
511,dana,,"gentle, tame",
512,danana,,helpfulness,
513,danawaka,,bad,
514,danena,DEM,"directional demonstrative, that seaward",
515,dangade,,quick action,
516,danganga,o,rice destroying insect,insect
517,dangi,ho,sit,
518,dangutu,,hatred,
519,danongo,nanga,grandchild,kin
520,dapa,,tell,
521,dapalyu,,depressed,
522,daparaha,,pin on,
523,dapariono,,lap,
524,daramouho,,squeeze,
525,dararono,,glimmer,
526,dari,,name of womans brothers children,
527,daro-daromo,ma,very *black,color
528,daromo,ma,black,color
