483,dahao,PART,before,
484,dahe,,crawl,
485,dahi,,"extend hand, handshake",
486,daho,,name of mans sisters child,
487,dahongo,,catch,
488,dahu,,name of wifes husbands sister,
489,dahuku,,calendar of rope knots,
490,dai,LOC,"directional adverb, ""on the sea"", on the sea, seawards, landwards",
491,dai-dai,,carry on the back,
492,dailako,ho ma,look at,
493,dailangi,,morning twilight,time
494,daji,,"bamboo money container, bamboo fishing float",tool
495,daka,,honey,food
496,dake,,seperate fighters,
497,dake,,"above, up here",
498,dakena,DEM,"directional demonstrative, ""that upward""",dir
499,dakolo,,bargain,
500,daku,LOC,above,
501,dakuru,,catch a liquid,
502,dalima,,pomegranate tree,
503,daluku,,palm wine,
504,dama,,wait for,
505,damela,,stink,
506,damonu,,cover,
507,damouro,,watch,
508,damouro,,"approach, come close",
509,damunu,o,drum,
510,dana,,"gentle, tame",
511,danana,,helpfulness,
512,danawaka,,bad,
513,danena,DEM,"directional demonstrative, ""that seaward""",
514,dangade,,quick action,
515,danganga,,rice destroying insect,insect
516,dangi,,sit,
517,dangutu,,hatred,
518,danongo,nanga,grandchild,kin
519,dapa,,tell,
520,dapalyu,,depressed,
521,daparaha,,pin on,
522,dapariono,,lap,
523,daramouho,,squeeze,
524,dararono,,glimmer,
525,dari,,name of womans brothers children,
526,daro-daromo,ma,very black,color
527,daromo,ma,black,color
528,darunu,,seperate,
529,darunu,,property stake,
530,datauru,,pull closed,
531,dateuke,,beside,
532,datomo,ha,to plant,
533,datoro,o,conflict,
534,dau,LOC,below,
535,dawaga,,close,
536,dawara,,order in housekeeping,
537,de,,"and, with, then",
538,debini,,coconut oil,
539,debini,,pure,
540,deda,,fish,
541,dede,,with,
542,dedeta,o,"sieve, to sift with a sieve",
543,dedetoro,o,"mouse, rat",animal
544,dedouro,o,k o tree,plant
545,dego,,set,
546,deheuro,,"twine, climb",
547,dekano,,long duration,time
548,dekaura,,"top, point",
549,demo,ho ma,"Tobelorese, the Tobelo language",
550,demo-demo,,headhunters,
551,demoko,,mushrooms,plant
552,dengi,,fine rattan,plant
553,dengo,,"joint, articulation",
554,deo,,squeeze,
555,deri,,large pandanus sack,
556,derihi,o,palm leaf cup,
557,dero,,time of,
558,dero,,rightly,
559,deta,,pour,
560,detouro,,in,
561,detu,,make fire,
562,deubeho,,"narrow, tight",
563,deubeturu,,lazy,
564,deudela,,bowstring,
565,deudeli,,tendon,
566,deukekeure,,"grate, groin",
567,deuremi,,second year rice field,
568,deurero,,dry,
569,dewili,,"fiber, thread",
570,dia,o,"knife, cleaver",
571,diagi,,bamboo pot,
572,diai,ho,make,
573,diangi,,"live, stay, sojourn",
574,diauo,,"mate, fellow, companion",
575,diba,o,palm,plant
576,dibitumu,,press,
577,dibo-diboko,,swim,
578,diburu,,sprout,
579,dide,,"hang, carry",
580,didide,,cradle,
581,didipo,,stick used to pick fruit,
582,didomo,,heal,
583,didumu,,"cover, deny",
584,difu,ho,to round Cape Djere,nautical
585,digi-digi,,close by,
586,digiranga,,longitudinal,
587,dihanga,,"firmament, heaven",
588,dihidete,,sail,nautical
589,dihihiri,,drone,
590,dihini,,dozen chickens,
591,dihira,,front piece,
592,dihiwara,,shine upon,
593,dihongo,,"happiness, prosperity, profit",
594,dika,PART,just,
595,diki,,support,
596,diki-diki,,walking stick,
597,dikiti,,cough,
598,dilago,,fruit,
599,dilibu,,fruit,
600,dilibu,,"fruit, fetus",
601,diliki,,male genetalia,
602,dilikini,,spirits of the dead,
603,dilikitu,,divorced wife,
604,dimoaka,,remainder,
605,dimo-dimono,o,the oldest,
606,dina,LOC,on the land,
607,dinena,DEM,that landward,
608,dineunguku,,seawards,
609,dingi,,tight,
610,dingi-dingi,,song game,
611,dino,,loom,
612,dino,,burned,
613,dino,,loom,
614,diodaka,,crawl under,
615,dioha,,house,
616,diopo,,brothers wife,
617,diopo,,wives of brothers,
618,dipidili,,release,
619,dipo,,knock o ff fruit,
620,dipongo,,banana,
621,dipopa,,steep ending,
622,ditifa,,fall on,
623,ditoko,,set aside,
624,ditoko,,deviate,
625,doa,ho ma,"climb, ascend, I climbed the coconut palm in order to get some coconuts",
626,doaaura,,surprise,
627,doabutu,,purchase price,
628,doa-doana,,call names,
629,doaka,ma,ransom,
630,doana,,call names,
631,dobalyaana,,flat depressed,
632,dobi-dobiki,ma,a little bit,
